verse,Optimistic,Thankful,Empathetic,Pessimistic,Anxious,Sad,Annoyed,Denial,Official report,Surprise,Joking
lamsa translation acts chapter,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
but a certain man called ananias together with his wife named shapphira sold his field.,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
and he took some of the money and hid it and his wife also knew of it and he brought some of the money and placed it at the disposal of the apostles.,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
and simon peter said to him ananias why has satan so filled your heart that you should lie to the holy spirit and hide part of the money of the price of the field,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
was it not your own before you sold it and after it was sold had you not the sole authority over its money what made you think to do this thing you have not only lied to men but to god.,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
and when ananias heard these words he fell down and died and great fear came upon all of those who heard these things.,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
the younger men among them arose and moved his body aside. then they took him out and buried him.,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
three hours later his wife also came in not knowing what had happened.,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
simon peter said to her tell me if you sold the field for this price she said yes for this price.,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
then simon peter said to her because you have been partners to tempt the spirit of the lord behold the feet of the men who have buried your husband are at the door and they shall carry you out also.,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
and in that very hour she fell down at their feet and died and the young men came in and found her dead and they picked her up and carried her away and buried her by the side of her husband.,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
and great fear came upon all the congregation and upon all who heard what had happened.,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
many miracles and signs were wrought among the people by the apostles and they were all gathered together in the portico of solomon.,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
and none of the unbelievers dared to interfere with them but the people held them in respect.,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
and the number of those who believed in the lord was greatly increased by multitudes both of men and women.,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
they even brought out the sick into the streets and laid them on quilts so that when simon peter should happen to pass by his shadow might fall upon them.,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
many came to them from other cities around jerusalem bringing the sick and mentally afflicted and they were all healed.,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
then the high priest was filled with jealousy and all of those who were with him for they were adherents to the teachings of the sadducees,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
so they laid hands on the apostles and arrested them and bound them in prison.,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
but during the night the angel of the lord opened the door of the prison and brought them forth and said to them,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
go stand in the temple and speak to the people all these words of life.,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
accordingly they went out early in the morning and entered into the temple and taught the people. but the high priest and those who were with him called their associates and the elders of israel and sent to the prison to bring the apostles.,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0
and when those who were sent by them went and did not find them in the prison they returned,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
saying we found the prison carefully locked and also the guards standing at the doors and we opened them but found no man there.,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
when the high priest and the leaders of the temple heard these words they were astonished at them and they were reasoning how it could happen,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
when a man came and informed them behold the men whom you put in prison are standing in the temple and teaching the people.,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
then the leaders went with the soldiers to bring them not by force for they were afraid that the people might stone them.,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
and when they had brought them they made them stand before the whole council and the high priest proceeded,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
saying did we not strictly command you not to teach any man in this name and behold you have filled jerusalem with your doctrine and you intend to bring the blood of this man upon us.,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
then simon peter with the rest of the apostles answered saying to them we must obey god rather than men.,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
the god of our fathers has raised up jesus whom you murdered when you nailed him on the cross.,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
this very one god has appointed a prince and a saviour and has lifted him up by his right hand so that he may grant repentance and forgiveness of sins to israel.,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
and we are the witnesses of these words so is also the holy spirit whom god has given to those who believe in him.,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
when they heard these words they were enraged and thought to murder the apostles.,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
then one of the pharisees whose name was gamaliel a teacher of the law and honored by all the people rose up and ordered them to take the apostles outside for a little while,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
then he said to them men of israel take heed to yourselves and find out what is the best for you to do about these men.,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0
for before these days rose up theudas boasting himself to be a great man and about four hundred men followed him but he was slain and those who followed him were scattered and nothing came of them,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
after him rose up judah the galilean in the days when people were registering for the head tax and he misled many people into following him. he died and all of those who followed him were dispersed.,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
so now i tell you keep away from these men and let them alone for if this thought and this work is of men it will fail and pass away.,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
but if it be of god you cannot suppress it lest perchance you find yourself standing in opposition to god.,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
and they listened to him and they called the apostles and scourged them and commanded them not to speak in the name of jesus and let them go.,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
the apostles went out from the presence of the council rejoicing that they had been worthy to suffer abuse for the sake of his name.,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
and they did not cease to teach daily in the temple and at home and to preach concerning our lord jesus christ.,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
