verse,Optimistic,Thankful,Empathetic,Pessimistic,Anxious,Sad,Annoyed,Denial,Official report,Surprise,Joking
do not judge so that you may not be judged.,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
for with the judgement you make you will be judged and the measure you give will be the measure you get.,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
why do you see the speck in your neighbour s eye but do not notice the log in your own eye,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
or how can you say to your neighbour let me take the speck out of your eye while the log is in your own eye,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
you hypocrite first take the log out of your own eye and then you will see clearly to take the speck out of your neighbour s eye.,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
do not give what is holy to dogs and do not throw your pearls before swine or they will trample them under foot and turn and maul you.,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
ask and it will be given to you search and you will find knock and the door will be opened for you.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
for everyone who asks receives and everyone who searches finds and for everyone who knocks the door will be opened.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
is there anyone among you who if your child asks for bread will give a stone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
or if the child asks for a fish will give a snake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
if you then who are evil know how to give good gifts to your children how much more will your father in heaven give good things to those who ask him,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
in everything do to others as you would have them do to you for this is the law and the prophets.,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
enter through the narrow gate for the gate is wide and the road is easy that leads to destruction and there are many who take it.,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
for the gate is narrow and the road is hard that leads to life and there are few who find it.,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
beware of false prophets who come to you in sheep s clothing but inwardly are ravenous wolves.,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
you will know them by their fruits. are grapes gathered from thorns or figs from thistles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
in the same way every good tree bears good fruit but the bad tree bears bad fruit.,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
a good tree cannot bear bad fruit nor can a bad tree bear good fruit.,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
every tree that does not bear good fruit is cut down and thrown into the fire.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
thus you will know them by their fruits.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
not everyone who says to me lord lord will enter the kingdom of heaven but only one who does the will of my father in heaven.,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
on that day many will say to me lord lord did we not prophesy in your name and cast out demons in your name and do many deeds of power in your name,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
then i will declare to them i never knew you go away from me you evildoers.,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
everyone then who hears these words of mine and acts on them will be like a wise man who built his house on rock.,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
the rain fell the floods came and the winds blew and beat on that house but it did not fall because it had been founded on rock.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
and everyone who hears these words of mine and does not act on them will be like a foolish man who built his house on sand.,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
the rain fell and the floods came and the winds blew and beat against that house and it fell and great was its fall,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
now when jesus had finished saying these things the crowds were astounded at his teaching,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
for he taught them as one having authority and not as their scribes.,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
